ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag,,,,
CHEMBL1912,CAMPATH-1 antigen,P31358,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL2364158,Tumor necrosis factor ligand superfamily member 13B,Q9Y275,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL2364161,Tumor necrosis factor receptor superfamily member 8,P28908,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL2364164,Cytotoxic T-lymphocyte protein 4,P16410,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL1628478,Chloride channel protein 2,P51788,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3712987,Interleukin-3 receptor subunit alpha,P26951,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL2364155,Interleukin-6 receptor alpha subunit,P08887,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4630887,Semaphorin-4D,Q92854,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4630888,Delta-like protein 3,Q9NYJ7,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4630889,Glypican-3,P51654,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL6182,NADP-dependent malic enzyme, mitochondrial,Q16798,SINGLE PROTEIN,Homo sapiens,6,10,9606,False,,,
CHEMBL4662942,Wilms tumor protein,P19544,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4665582,DNA-directed RNA polymerase III subunit RPC1,O14802,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3712862,Intercellular adhesion molecule 3,P32942,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3430873,N-alpha-acetyltransferase 16, NatA auxiliary subunit,Q6N069,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,
CHEMBL3712927,Cell surface A33 antigen,Q99795,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3713643,Complement receptor type 1,P17927,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL1915,Tubulin beta-1 chain,Q9H4B7,SINGLE PROTEIN,Homo sapiens,168,182,9606,False,,,,
CHEMBL4105740,Choline/ethanolaminephosphotransferase 1,Q9Y6K0,SINGLE PROTEIN,Homo sapiens,49,65,9606,False,,,,
CHEMBL3712916,Delta-like protein 4,Q9NR61,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4146,Vitamin D3 receptor-interacting protein,Q9ULK4,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL2362981,TAR DNA-binding protein 43,Q13148,SINGLE PROTEIN,Homo sapiens,39975,40111,9606,False,,,,
CHEMBL2052033,Protein-tyrosine phosphatase mitochondrial 1,Q8WUK0,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL5659,Serine/threonine-protein kinase RIO3,O14730,SINGLE PROTEIN,Homo sapiens,239,309,9606,False,,,,
CHEMBL4523350,NAD(+) hydrolase SARM1,Q6SZW1,SINGLE PROTEIN,Homo sapiens,47,87,9606,False,,,,
CHEMBL5882,Integrin alpha-10,O75578,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL2189164,Kv channel-interacting protein 2,Q9NS61,SINGLE PROTEIN,Homo sapiens,5,5,9606,False,,,,
CHEMBL6002,Cell division cycle 2-like protein kinase 6,Q9BWU1,SINGLE PROTEIN,Homo sapiens,471,538,9606,False,,,,
CHEMBL3559386,SLAM family member 7,Q9NQ25,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4630882,Tumor necrosis factor receptor superfamily member 13C,Q96RJ3,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL1876,Thiazide-sensitive sodium-chloride cotransporter,P55017,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL1741305,Interleukin-18,Q14116,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3856163,Tumor-associated calcium signal transducer 2,P09758,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4295931,Prohibitin-2,Q99623,SINGLE PROTEIN,Homo sapiens,54,142,9606,False,,,,
CHEMBL4739700,Methionine--tRNA ligase, mitochondrial,Q96GW9,SINGLE PROTEIN,Homo sapiens,12,12,9606,False,,,
CHEMBL4523586,E3 ubiquitin ligase TRAF3IP2,O43734,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4523587,Tumor necrosis factor receptor superfamily member 17,Q02223,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL2050,Interleukin 11 receptor alpha,Q14626,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4879435,Proteasome subunit beta type-4,P28070,SINGLE PROTEIN,Homo sapiens,5,5,9606,False,,,,
CHEMBL3712901,Connective tissue growth factor,P29279,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3580490,Interleukin-4 receptor subunit alpha,P24394,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4739707,Zinc finger protein Aiolos,Q9UKT9,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL4295991,ADP-ribose glycohydrolase OARD1,Q9Y530,SINGLE PROTEIN,Homo sapiens,1,2,9606,False,,,,
CHEMBL4295674,DnaJ homolog subfamily B member 6,O75190,SINGLE PROTEIN,Homo sapiens,1,2,9606,False,,,,
CHEMBL3710485,Angiopoietin-related protein 3,Q9Y5C1,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4295652,Myosin regulatory light chain 12B,O14950,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL6042,Hepatocyte growth factor-like protein,P26927,SINGLE PROTEIN,Homo sapiens,6,6,9606,False,,,,
CHEMBL4523866,G-protein coupled receptor 15,P49685,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4558,GABA receptor beta-1 subunit,P18505,SINGLE PROTEIN,Homo sapiens,3,4,9606,False,,,,
CHEMBL4295693,Complement component C9,P02748,SINGLE PROTEIN,Homo sapiens,3,3,9606,False,,,,
CHEMBL4879427,Gap junction beta-1 protein,P08034,SINGLE PROTEIN,Homo sapiens,5,5,9606,False,,,,
CHEMBL4524032,Guanine nucleotide exchange factor DBS,O15068,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL4523153,Triple functional domain protein,O75962,SINGLE PROTEIN,Homo sapiens,3,3,9606,False,,,,
CHEMBL2849,Peptide N-myristoyltransferase 2,O60551,SINGLE PROTEIN,Homo sapiens,44,44,9606,False,,,,
CHEMBL4105842,Conserved oligomeric Golgi complex subunit 3,Q96JB2,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL4523872,Adhesion G-protein coupled receptor F1,Q5T601,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL1075152,Glucokinase regulatory protein,Q14397,SINGLE PROTEIN,Homo sapiens,156,190,9606,False,,,,
CHEMBL1795085,Ataxin-2,Q99700,SINGLE PROTEIN,Homo sapiens,53927,54410,9606,False,,,,
CHEMBL6159,Ubiquitin carboxyl-terminal hydrolase isozyme L1,P09936,SINGLE PROTEIN,Homo sapiens,48,58,9606,False,,,,
CHEMBL5910,Aurora kinase A-interacting protein,Q9NWT8,SINGLE PROTEIN,Homo sapiens,3,3,9606,False,,,,
CHEMBL4996,Fucosyltransferase 4,P22083,SINGLE PROTEIN,Homo sapiens,15,41,9606,False,,,,
CHEMBL4105892,Very long-chain specific acyl-CoA dehydrogenase, mitochondrial,P49748,SINGLE PROTEIN,Homo sapiens,241,241,9606,False,,,
CHEMBL6090,Actin-related protein 2,P61160,SINGLE PROTEIN,Homo sapiens,247,249,9606,False,,,,
CHEMBL3309102,Probable G-protein coupled receptor 135,Q8IZ08,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL3000,Elastase 1,Q9UNI1,SINGLE PROTEIN,Homo sapiens,33,39,9606,False,,,,
CHEMBL3562167,Probable G-protein coupled receptor 174,Q9BXC1,SINGLE PROTEIN,Homo sapiens,112,370,9606,False,,,,
CHEMBL4105855,Choline-phosphate cytidylyltransferase A,P49585,SINGLE PROTEIN,Homo sapiens,113,113,9606,False,,,,
CHEMBL3351206,Voltage-dependent L-type calcium channel subunit beta-3,P54284,SINGLE PROTEIN,Homo sapiens,16,16,9606,False,,,,
CHEMBL5030,ADAM12,O43184,SINGLE PROTEIN,Homo sapiens,7,7,9606,False,,,,
CHEMBL3974,Proteinase-activated receptor 1,P25116,SINGLE PROTEIN,Homo sapiens,1247,1753,9606,False,,,,
CHEMBL4295673,Clustered mitochondria protein homolog,O75153,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4296005,Heterogeneous nuclear ribonucleoprotein H2,P55795,SINGLE PROTEIN,Homo sapiens,1,2,9606,False,,,,
CHEMBL4105747,Structural maintenance of chromosomes protein 1A,Q14683,SINGLE PROTEIN,Homo sapiens,220,220,9606,False,,,,
CHEMBL5707,Solute carrier family 28 member 3,Q9HAS3,SINGLE PROTEIN,Homo sapiens,23,29,9606,False,,,,
CHEMBL4105746,Myosin-10,P35580,SINGLE PROTEIN,Homo sapiens,168,168,9606,False,,,,
CHEMBL4295747,Serine hydroxymethyltransferase, mitochondrial,P34897,SINGLE PROTEIN,Homo sapiens,236,242,9606,False,,,
CHEMBL4523152,Peroxisomal membrane protein PEX14,O75381,SINGLE PROTEIN,Homo sapiens,65,65,9606,False,,,,
CHEMBL4770,Potassium channel, inwardly rectifying, subfamily J, member 8,Q15842,SINGLE PROTEIN,Homo sapiens,,,9606,False,
CHEMBL4937,Casein kinase I epsilon,P49674,SINGLE PROTEIN,Homo sapiens,1092,1279,9606,False,,,,
CHEMBL3580486,Interleukin-13,P35225,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4105706,Membrane-associated progesterone receptor component 1,O00264,SINGLE PROTEIN,Homo sapiens,180,181,9606,False,,,,
CHEMBL4523584,Lymphocyte antigen 6E,Q16553,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL2388,Ubiquinol-cytochrome C reductase complex 7.2 kDa protein,Q9UDW1,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL2311228,Cell division control protein 6 homolog,Q99741,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4523328,Cytosolic carboxypeptidase 6,Q5VU57,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL3713436,Tumor necrosis factor ligand superfamily member 13,O75888,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL5044,Serine/threonine-protein kinase Nek5,Q6P3R8,SINGLE PROTEIN,Homo sapiens,239,282,9606,False,,,,
CHEMBL3542437,Putative cytochrome P450 2D7,A0A087X1C5,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4105737,Bromodomain adjacent to zinc finger domain protein 1A,Q9NRL2,SINGLE PROTEIN,Homo sapiens,31,48,9606,False,,,,
CHEMBL3769296,Bromodomain and WD repeat-containing protein 3,Q6RI45,SINGLE PROTEIN,Homo sapiens,17,17,9606,False,,,,
CHEMBL3713453,Bone morphogenetic protein 10,O95393,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL1874,Sodium-(potassium)-chloride cotransporter 2,Q13621,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4105993,MICOS complex subunit MIC25,Q9BRQ6,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL4105958,CCR4-NOT transcription complex subunit 11,Q9UKZ1,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL1795176,N-lysine methyltransferase SETD8,Q9NQR1,SINGLE PROTEIN,Homo sapiens,138,177,9606,False,,,,
CHEMBL4105877,MICOS complex subunit MIC19,Q9NX63,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL4105803,Exportin-T,O43592,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL4295734,High mobility group protein B2,P26583,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4295722,Probable ATP-dependent RNA helicase DDX5,P17844,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL1958,3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,P14060,SINGLE PROTEIN,Homo sapiens,15,15,9606,False,,,,
CHEMBL3712932,Interleukin-9,P15248,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3712934,Trophoblast glycoprotein,Q13641,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3712972,Epidermal growth factor-like protein 7,Q9UHF1,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4523124,tRNA (cytosine(38)-C(5))-methyltransferase,O14717,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL3580485,Interleukin-17 receptor A,Q96F46,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3580489,Angiopoietin-2,O15123,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3879865,Staphylococcal nuclease domain-containing protein 1,Q7KZF4,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL1250360,Tumor necrosis factor receptor superfamily member 3,P36941,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL2591,Glutamate [NMDA] receptor subunit epsilon 4,O15399,SINGLE PROTEIN,Homo sapiens,19,22,9606,False,,,,
CHEMBL3712913,CD70 antigen,P32970,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4295718,Plastin-2,P13796,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL5988,Bcl-2-like protein 10,Q9HD36,SINGLE PROTEIN,Homo sapiens,5,5,9606,False,,,,
CHEMBL3712860,Transferrin receptor protein 1,P02786,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3713025,Teratocarcinoma-derived growth factor 1,P13385,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3713026,Killer cell immunoglobulin-like receptor 2DL3,P43628,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL3713449,Interleukin-20,Q9NYY1,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL5196,Fatty acid transport protein 5,Q9Y2P5,SINGLE PROTEIN,Homo sapiens,42,42,9606,False,,,,
CHEMBL2362986,ATP-binding cassette sub-family A member 1,O95477,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4680030,Aspartyl/asparaginyl beta-hydroxylase,Q12797,SINGLE PROTEIN,Homo sapiens,12,62,9606,False,,,,
CHEMBL4680031,RNA-binding protein 39,Q14498,SINGLE PROTEIN,Homo sapiens,1,9,9606,False,,,,
CHEMBL3580496,Interleukin-1 alpha,P01583,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4105944,5' exonuclease Apollo,Q9H816,SINGLE PROTEIN,Homo sapiens,3,3,9606,False,,,,
CHEMBL4882,Pyruvate dehydrogenase E1 component beta subunit,P11177,SINGLE PROTEIN,Homo sapiens,1,2,9606,False,,,,
CHEMBL4295972,Glyoxylate reductase/hydroxypyruvate reductase,Q9UBQ7,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4523915,G-protein coupled receptor 87,Q9BY21,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4295656,Actin-related protein 2/3 complex subunit 1B,O15143,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL1866,Voltage-gated potassium channel subunit Kv7.1,P51787,SINGLE PROTEIN,Homo sapiens,95,132,9606,False,,,,
CHEMBL2527,Serine/threonine-protein kinase Chk2,O96017,SINGLE PROTEIN,Homo sapiens,2715,3942,9606,False,,,,
CHEMBL4523878,Opsin-5,Q6U736,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4879515,Gamma-aminobutyric acid receptor-associated protein-like 1,Q9H0R8,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4523906,Probable G-protein coupled receptor 101,Q96P66,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4523907,Probable G-protein coupled receptor 82,Q96P67,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4523899,Mas-related G-protein coupled receptor member D,Q8TDS7,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL2595,Protein kinase C nu,O94806,SINGLE PROTEIN,Homo sapiens,1731,2294,9606,False,,,,
CHEMBL2163184,NAD-dependent protein deacetylase sirtuin-7,Q9NRC8,SINGLE PROTEIN,Homo sapiens,59,92,9606,False,,,,
CHEMBL5762,Sodium- and chloride-dependent taurine transporter,P31641,SINGLE PROTEIN,Homo sapiens,62,63,9606,False,,,,
CHEMBL4333,Sphingosine 1-phosphate receptor Edg-1,P21453,SINGLE PROTEIN,Homo sapiens,3012,4060,9606,False,,,,
CHEMBL2346488,Proliferating cell nuclear antigen,P12004,SINGLE PROTEIN,Homo sapiens,32,81,9606,False,,,,
CHEMBL5666,Disks large homolog 4,P78352,SINGLE PROTEIN,Homo sapiens,84,232,9606,False,,,,
CHEMBL2117,AMP-activated protein kinase, beta-2 subunit,O43741,SINGLE PROTEIN,Homo sapiens,3,3,9606,False,,,
CHEMBL3892,Sphingosine 1-phosphate receptor Edg-3,Q99500,SINGLE PROTEIN,Homo sapiens,2002,2461,9606,False,,,,
CHEMBL6029,Eukaryotic translation initiation factor 2-alpha kinase 1,Q9BQI3,SINGLE PROTEIN,Homo sapiens,522,684,9606,False,,,,
CHEMBL3351218,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,O43598,SINGLE PROTEIN,Homo sapiens,25,25,9606,False,,,,
CHEMBL3706,ADAM17,P78536,SINGLE PROTEIN,Homo sapiens,2588,3528,9606,False,,,,
CHEMBL4295782,Coatomer subunit beta,P53618,SINGLE PROTEIN,Homo sapiens,1,2,9606,False,,,,
CHEMBL5607,Rhodopsin kinase,Q15835,SINGLE PROTEIN,Homo sapiens,340,355,9606,False,,,,
CHEMBL3706559,Mitochondrial amidoxime-reducing component 1,Q5VT66,SINGLE PROTEIN,Homo sapiens,28,51,9606,False,,,,
CHEMBL1163108,STE20/SPS1-related proline-alanine-rich protein kinase,Q9UEW8,SINGLE PROTEIN,Homo sapiens,283,301,9606,False,,,,
CHEMBL4295800,A-kinase anchor protein 12,Q02952,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL3430761,Inactive serine/threonine-protein kinase VRK3,Q8IV63,SINGLE PROTEIN,Homo sapiens,156,156,9606,False,,,,
CHEMBL2222,Ornithine carbamoyltransferase,P00480,SINGLE PROTEIN,Homo sapiens,8,24,9606,False,,,,
CHEMBL3878,Phosphodiesterase 6A,P16499,SINGLE PROTEIN,Homo sapiens,56,56,9606,False,,,,
CHEMBL3308978,Complement component 3a receptor 1, isoform CRA_a,A8K2H7,SINGLE PROTEIN,Homo sapiens,4,4,9606,False,,,
CHEMBL1075315,C-X-C chemokine receptor type 5,P32302,SINGLE PROTEIN,Homo sapiens,161,181,9606,False,,,,
CHEMBL3421524,6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1,P16118,SINGLE PROTEIN,Homo sapiens,37,37,9606,False,,,
CHEMBL4295793,RNA-binding protein 3,P98179,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4295966,Constitutive coactivator of PPAR-gamma-like protein 1,Q9NZB2,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4295865,Epithelial splicing regulatory protein 1,Q6NXG1,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4295655,Phosphoribosylformylglycinamidine synthase,O15067,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL1075126,Pyruvate kinase isozymes R/L,P30613,SINGLE PROTEIN,Homo sapiens,616,2513,9606,False,,,,
CHEMBL1961787,Nuclear receptor subfamily 2 group C member 1,P13056,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL1962,GABA receptor alpha-1 subunit,P14867,SINGLE PROTEIN,Homo sapiens,196,298,9606,False,,,,
CHEMBL4295651,Transcription regulator protein BACH1,O14867,SINGLE PROTEIN,Homo sapiens,5,266,9606,False,,,,
CHEMBL4458,Alkaline phosphatase placental type,P05187,SINGLE PROTEIN,Homo sapiens,70,87,9606,False,,,,
CHEMBL4523128,Histone acetyltransferase type B catalytic subunit,O14929,SINGLE PROTEIN,Homo sapiens,6,6,9606,False,,,,
CHEMBL4342,Group X secretory phospholipase A2,O15496,SINGLE PROTEIN,Homo sapiens,160,213,9606,False,,,,
CHEMBL4523300,Transcription initiation factor TFIID subunit 11,Q15544,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4523108,TANK-binding kinase 1-binding protein 1,A7MCY6,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL1293267,G-protein coupled receptor 35,Q9HC97,SINGLE PROTEIN,Homo sapiens,581,1709,9606,False,,,,
CHEMBL6004,Queuine tRNA-ribosyltransferase,Q9BXR0,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL3713395,Secretory phospholipase A2 receptor,Q13018,SINGLE PROTEIN,Homo sapiens,2,2,9606,False,,,,
CHEMBL4105974,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,Q8IYD1,SINGLE PROTEIN,Homo sapiens,54,54,9606,False,,,,
CHEMBL2616,Acetyl-CoA acetyltransferase, mitochondrial,P24752,SINGLE PROTEIN,Homo sapiens,12,12,9606,False,,,
CHEMBL2169732,Hydroxyacid oxidase 2,Q9NYQ3,SINGLE PROTEIN,Homo sapiens,54,107,9606,False,,,,
CHEMBL4523434,Bifunctional polynucleotide phosphatase/kinase,Q96T60,SINGLE PROTEIN,Homo sapiens,5,17,9606,False,,,,
CHEMBL2157,Interleukin-8,P10145,SINGLE PROTEIN,Homo sapiens,501,626,9606,False,,,,
CHEMBL4523250,Taste receptor type 2 member 40,P59535,SINGLE PROTEIN,Homo sapiens,8,10,9606,False,,,,
CHEMBL4523877,Adhesion G-protein coupled receptor D1,Q6QNK2,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4523871,Probable G-protein coupled receptor 162,Q16538,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL5367,DNA polymerase lambda,Q9UGP5,SINGLE PROTEIN,Homo sapiens,103,183,9606,False,,,,
CHEMBL1163106,Serine/threonine-protein kinase MAK,P20794,SINGLE PROTEIN,Homo sapiens,235,247,9606,False,,,,
CHEMBL6008,Carbonyl reductase [NADPH] 3,O75828,SINGLE PROTEIN,Homo sapiens,14,42,9606,False,,,,
CHEMBL3178,Protein-tyrosine sulfotransferase 2,O60704,SINGLE PROTEIN,Homo sapiens,20,23,9606,False,,,,
CHEMBL6195,Ubiquitin carboxyl-terminal hydrolase isozyme L3,P15374,SINGLE PROTEIN,Homo sapiens,28,34,9606,False,,,,
CHEMBL2401,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,Q93084,SINGLE PROTEIN,Homo sapiens,5,6,9606,False,,,,
CHEMBL1914260,DNA-directed DNA/RNA polymerase mu,Q9NP87,SINGLE PROTEIN,Homo sapiens,10,10,9606,False,,,,
CHEMBL5286,Collagen-binding protein 1,P50454,SINGLE PROTEIN,Homo sapiens,4,4,9606,False,,,,
CHEMBL2070,Tubulin alpha-1 chain,P68366,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL3409,Glutathione S-transferase A1,P08263,SINGLE PROTEIN,Homo sapiens,73,104,9606,False,,,,
CHEMBL4295947,Ketosamine-3-kinase,Q9HA64,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4930,Granzyme K,P49863,SINGLE PROTEIN,Homo sapiens,15,19,9606,False,,,,
CHEMBL4105885,Uncharacterized aarF domain-containing protein kinase 1,Q86TW2,SINGLE PROTEIN,Homo sapiens,243,243,9606,False,,,,
CHEMBL2656,Creatine kinase M,P06732,SINGLE PROTEIN,Homo sapiens,30,67,9606,False,,,,
CHEMBL4523861,Probable G-protein coupled receptor 75,O95800,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL1075131,Lactase-phlorizin hydrolase,P09848,SINGLE PROTEIN,Homo sapiens,35,37,9606,False,,,,
CHEMBL4523857,Mas-related G-protein coupled receptor MRG,P35410,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4523910,Trace amine-associated receptor 6,Q96RI8,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4523892,Adhesion G-protein coupled receptor F2,Q8IZF7,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL2169736,Tyrosyl-DNA phosphodiesterase 2,O95551,SINGLE PROTEIN,Homo sapiens,590,826,9606,False,,,,
